Jenis,Kecamatan,Tahun,RTP,Produksi (Ton)
Tambak,Kaway XVI,2022,0,0
Tambak,Meureubo,2022,17,5720
Tambak,Pante Ceureumen,2022,0,0
Tambak,Panton Reu,2022,0,0
Tambak,Sungai Mas,2022,0,0
Kolam Air Tawar,Johan Pahlawan,2022,42,22480
Kolam Air Tawar,Samatiga,2022,99,30480
Kolam Air Tawar,Bubon,2022,40,6330
Kolam Air Tawar,Arongan Lambalek,2022,30,9150
Kolam Air Tawar,Woyla,2022,46,8010
Kolam Air Tawar,Woyla Barat,2022,19,480
Kolam Air Tawar,Woyla Timur,2022,13,4490
Kolam Air Tawar,Kaway XVI,2022,92,9650
Kolam Air Tawar,Meureubo,2022,41,19500
Kolam Air Tawar,Pante Ceureumen,2022,15,3540
Kolam Air Tawar,Panton Reu,2022,16,3720
Kolam Air Tawar,Sungai Mas,2022,13,5070
Keramba Tancap,Johan Pahlawan,2022,0,0
Keramba Tancap,Samatiga,2022,0,0
Keramba Tancap,Bubon,2022,0,0
Keramba Tancap,Arongan Lambalek,2022,0,0
Keramba Tancap,Woyla,2022,0,0
Keramba Tancap,Woyla Barat,2022,0,0
Keramba Tancap,Woyla Timur,2022,0,0
Keramba Tancap,Kaway XVI,2022,0,0
Keramba Tancap,Meureubo,2022,7,165970
Keramba Tancap,Pante Ceureumen,2022,0,0
Keramba Tancap,Panton Reu,2022,0,0
Keramba Tancap,Sungai Mas,2022,0,0
Keramba Jaring Apung,Johan Pahlawan,2022,0,0
Keramba Jaring Apung,Samatiga,2022,0,0
Keramba Jaring Apung,Bubon,2022,0,0
Keramba Jaring Apung,Arongan Lambalek,2022,0,0
Keramba Jaring Apung,Woyla,2022,0,0
Keramba Jaring Apung,Woyla Barat,2022,0,0
Keramba Jaring Apung,Woyla Timur,2022,0,0
Keramba Jaring Apung,Kaway XVI,2022,0,0
Keramba Jaring Apung,Meureubo,2022,0,0
Keramba Jaring Apung,Pante Ceureumen,2022,0,0
Keramba Jaring Apung,Panton Reu,2022,0,0
Keramba Jaring Apung,Sungai Mas,2022,0,0
Minapadi,Johan Pahlawan,2022,0,0
Minapadi,Samatiga,2022,0,0
Minapadi,Bubon,2022,0,0
Minapadi,Arongan Lambalek,2022,0,0
Minapadi,Woyla,2022,0,0
Minapadi,Woyla Barat,2022,0,0
Minapadi,Woyla Timur,2022,0,0
Minapadi,Kaway XVI,2022,0,0
Minapadi,Meureubo,2022,0,0
Minapadi,Pante Ceureumen,2022,0,0
Minapadi,Panton Reu,2022,0,0
Minapadi,Sungai Mas,2022,0,0
